id,text,word_count,dialect,source
SASAK_SENT_000034,Ie pade cemoh gati serioq bintang nike!,7,general,alkitab_sasak_Mat_2_9
SASAK_SENT_000035,"Bintang nike terus lampaq senjuluq ie pade, terus ndot tepat leq atas taoq Kanak nike.",15,general,alkitab_sasak_Mat_2_9
SASAK_SENT_000036,"Ie pade tame ojok dalem bale nike dait serioqne Kanak nike kance Mariam, mamiq bini-Ne.",15,general,alkitab_sasak_Mat_2_11
SASAK_SENT_000037,"Ie pade sujut nyembah Kanak nike, dait bukaq tangkaq dowene, terus ngaturang leq Ie, emas, menyan dait mur.",18,general,alkitab_sasak_Mat_2_11
SASAK_SENT_000038,Allah peringet ie pade langan ngimpi adeq ie pade ndeq tulak ojok Herodes.,13,general,alkitab_sasak_Mat_2_12
SASAK_SENT_000039,Jari ie pade uleq ojok negerine liwat langan saq lain.,10,general,alkitab_sasak_Mat_2_12
SASAK_SENT_000040,"Sesampun ahli-ahli bintang nike lumbar, malaekat Tuhan rauh ojok Yusup leq dalem impi.",13,general,alkitab_sasak_Mat_2_13
SASAK_SENT_000041,"Malaekat nike bemanik, ""Herodes beniat boyaq Kanak nike jari nyemateq Ie, keranaq nike becat ures, jauq Kanak nike dait mamiq bini-Ne beterus pelai ojok Mesir.",25,general,alkitab_sasak_Mat_2_13
SASAK_SENT_000042,"Ndot leq taoq nike jangke Tiang dateng badaq side malik.""",10,general,alkitab_sasak_Mat_2_13
SASAK_SENT_000043,"Yusup ures, dait kelem nike juaq ie jauq Kanak nike dait mamiq bini-Ne ngalih ojok Mesir.",16,general,alkitab_sasak_Mat_2_14
SASAK_SENT_000044,Ie pade ndot leq derike jangke Herodes ninggal.,8,general,alkitab_sasak_Mat_2_15
SASAK_SENT_000045,"Siq care nike telaksane selapuq saq temanikang siq Tuhan langan nabi-Ne, ""Tiang ngemanikang Bije Tiang leman Mesir.""",17,general,alkitab_sasak_Mat_2_15
SASAK_SENT_000046,"Sewaktu Herodes wikan bahwe ie sampun teakalang siq ahli-ahli bintang leman negeri timuq nike, Herodes jari menggah gati.",18,general,alkitab_sasak_Mat_2_16
SASAK_SENT_000047,Beterus prentahangne nyemateq selapuq kanak-kanak mame saq beumur leq bawaq due taun saq araq leq Betlehem dait sekiterne.,18,general,alkitab_sasak_Mat_2_16
