word,lemma,pos,dialect,meaning_id,meaning_2,example,source
ampanan,ampanan,,Sasak Umum,mengandung batu padas,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampang,ampang,,Sasak Umum,rasa tembakau yg tidak begitu keras,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"ampang, ngampang",ampang,,Sasak Umum,tidur menelentang,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"ampao, angpao",ampao,,Sasak Umum,Cn hadiah uang dl perayaan imlek pada komunitas Tionghoa,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampar,ampar,,Sasak Umum,bibit padi yg di persemaian,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
amparin,amparin,,Sasak Umum,tebarkan persemaian dng bibit padi,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampat,ampat,,Sasak Umum,dangkal,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampatan,ampatan,,Sasak Umum,agak dangkal,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampel = teréng; tering,ampel = teréng,,Sasak Umum,bambu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampel aur,ampel aur,,Sasak Umum,bambu untuk rusuk rumah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampel biloq,ampel biloq,,Sasak Umum,bambu buluh,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampel buloq,ampel buloq,,Sasak Umum,bambu buluh,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampel dengdeng,ampel dengdeng,,Sasak Umum,bambu untuk menumbuk (padi),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampel duri,ampel duri,,Sasak Umum,nama tempat pemukiman migran Jawa di bayan pada zaman dahulu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampel galah,ampel galah,,Sasak Umum,bambu untuk rusuk rumah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampel letaq,ampel letaq,,Sasak Umum,bambu untuk rusuk rumah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampel petung,ampel petung,,Sasak Umum,bambu yg berbatang besar dan dapat dijadikan tiang rumah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampel tali,ampel tali,,Sasak Umum,bambu yg batangnya (setelah dibelah-belah) dapat dijadikan tali,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampel tutul,ampel tutul,,Sasak Umum,"bambu yg tingginya bisa mencapai 12 m, berwarna hijau ketika muda dan berwarna tutul kecoklat-coklatan setelah tua",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampen; ampel,ampen,,Sasak Umum,tali pancing/kail,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampenan,ampenan,,Sasak Umum,nama kota pelabuhan di Lombok Barat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
amper,amper,,Sasak Umum,"jarum (sepeda motor, lampu, dll)",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"amper, emper",amper,,Sasak Umum,serambi muka,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"amper, ngamper",amper,,Sasak Umum,semerbak (bau),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampes = aben; amet; pelewas; pelentong,ampes = aben,,Sasak Umum,lempar dng keras; hantam,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"ampes, ngampes",ampes,,Sasak Umum,kena sedikit,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampesang,ampesang,,Sasak Umum,hempaskan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampet,ampet,,Sasak Umum,tutup (pintu masuknya air ke sawah),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampet-ampet,ampet-ampet,,Sasak Umum,mengipas-ngipas,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampetang,ampetang,,Sasak Umum,kipaskan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampetin,ampetin,,Sasak Umum,kipasi,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"ampi, ampiang",ampi,,Sasak Umum,sisihkan (tempat menaruh sutau barang),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampik,ampik,,Sasak Umum,teras rumah (yg beratap),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampil,ampil,,Sasak Umum,gulungan sirih (yg akan dikunyah),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampiq,ampiq,,Sasak Umum,sesudah itu; kemudian,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampir,ampir,,Sasak Umum,dekat,hampir,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampir-ampir,ampir-ampir,,Sasak Umum,hampir-hampir,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampoh,ampoh,,Sasak Umum,kuat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"ampok, ampok-ampok",ampok,,Sasak Umum,kunci gembok,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampok-ampokin,ampok-ampokin,,Sasak Umum,memberi kunci gembok,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampoq,ampoq,,Sasak Umum,lagi; tambah lagi,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampuk,ampuk,,Sasak Umum,warna ungu lembayung; violet,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampukan,ampukan,,Sasak Umum,lebih violet,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampukin,ampukin,,Sasak Umum,bubuhi warna violet,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampun,ampun,,Sasak Umum,pembebasan dr tuntutan krn melakukan kesalahan atau kekeliruan; ampun; maaf,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampunan,ampunan,,Sasak Umum,pemberian ampun; pengampunan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"ampung, ngampung",ampung,,Sasak Umum,menggelantung,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampunin,ampunin,,Sasak Umum,ampuni,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampura,ampura,,Sasak Umum,mohon maaf,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ampurayang,ampurayang,,Sasak Umum,maafkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
amu,amu,,Sasak Umum,rupa; tampang; wajah,kalau; jika,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"amu, ngamu-amu",amu,,Sasak Umum,melamun,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
amuk,amuk,,Sasak Umum,"amuk; serang dng membabi buta (krn marah, mata gelap, dsb)",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
amuk ngasa,amuk ngasa,,Sasak Umum,mengamuk tak karuan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
amung; namung,amung,,Sasak Umum,namun,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
amuq,amuq,,Sasak Umum,begitulah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak,anak,,Sasak Umum,anak; keturunan yg kedua,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak agung,anak agung,,Sasak Umum,Bal gelar atau title Raja Bali di Lombok,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak ajaip,anak ajaip,,Sasak Umum,anak kecil yg sudah mampu menguasai kepandaian yg dimiliki oleh orang dewasa,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak akon,anak akon,,Sasak Umum,anak orang lain yg diambil (dipelihara) dan dijadikan anak sendiri,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak ampu,anak ampu,,Sasak Umum,anak angkat yg di-ampu secara adat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak aren,anak aren,,Sasak Umum,piring cembung kecil tempat air pembasuh tangan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak bai,anak bai,,Sasak Umum,anak cucu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak basong,anak basong,,Sasak Umum,anak anjing,kata makian ketika sedang marah,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak bebai,anak bebai,,Sasak Umum,anak tuyul,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak begang,anak begang,,Sasak Umum,anak tikus,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak bulu,anak bulu,,Sasak Umum,rambut halus yg tumbuh di kepala,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak cobéq,anak cobéq,,Sasak Umum,penggiling pada cobek,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak dacin,anak dacin,,Sasak Umum,batu (besi) pd timbangan dng ketentuan berat tertentu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak dangkem,anak dangkem,,Sasak Umum,piring cembung,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak datu,anak datu,,Sasak Umum,anak keturunan raja; pengeran,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak enda,anak enda,,Sasak Umum,"anak (dua, tiga, atau lebih) yg lahir dr satu kandungan pd satu kehamilan; anak kembar",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak enjen,anak enjen,,Sasak Umum,anak tulen,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak erat,anak erat,,Sasak Umum,parit kecil; got kecil,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak imbuq,anak imbuq,,Sasak Umum,anak pungut,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak iwoq,anak iwoq,,Sasak Umum,anak yg tidak mempunyai ibu bapak dan keluarga,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak jadah,anak jadah,,Sasak Umum,anak haram,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak jari,anak jari,,Sasak Umum,keturuanan; keluarga,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak kuni,anak kuni,,Sasak Umum,anak yg lahir dr kandungan sendiri; anak sendiri,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak lepang,anak lepang,,Sasak Umum,anak kodok,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak pade,anak pade,,Sasak Umum,padi kecil yg tumbuh di sekitar pohon induknya,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak panaq,anak panaq,,Sasak Umum,"senjata tajam yg berupa barang panjang, runcing pd ujungnya dan diberi bulu atau barang lain yg berfungsi sbg penjaga keseimbangan, dilepaskan dng menggunakan busur",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak pemutus umbaq,anak pemutus umbaq,,Sasak Umum,anak yg paling muda; anak bungsu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak peneq,anak peneq,,Sasak Umum,anak yg belum mempunyai pengalaman banyak; anak kemarin sore,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak peras,anak peras,,Sasak Umum,anak pungut,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak sengaka,anak sengaka,,Sasak Umum,anak yg paling tua,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak tereq,anak tereq,,Sasak Umum,anak yg lahir bukan dr kandungan sendiri; anak tiri,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak wong,anak wong,,Sasak Umum,anak orang (manusia),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anak yatim piatu,anak yatim piatu,,Sasak Umum,anak yg kedua orang tuanya sudah meninggal dunia,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"anang, nanang",anang,,Sasak Umum,sebutan panggilan bagi laki-laki dari etnis Cina dan Banjar,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ancak,ancak,,Sasak Umum,"wadah makanan yg terbuat dr bambu, dipakai untuk menghidang-kan selamatan",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ancak kagungan,ancak kagungan,,Sasak Umum,ancak yg besar dl upacara adat di Bayan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"ancar, ancar-ancar",ancar,,Sasak Umum,rencana; persiapan hendak berbuat sesuatu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ancot,ancot,,Sasak Umum,sanggama; setubuh,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"andam, andam-andam",andam,,Sasak Umum,kalikatu (serangga tanah),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andang,andang,,Sasak Umum,arah ke; hadap,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andang baret,andang baret,,Sasak Umum,menghadap ke barat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andang daya,andang daya,,Sasak Umum,menghadap ke utara,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andang julu,andang julu,,Sasak Umum,menghadap ke depan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andang lauq,andang lauq,,Sasak Umum,menghadap ke selatan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andang mudi,andang mudi,,Sasak Umum,menghadap ke belakang,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andang timuq,andang timuq,,Sasak Umum,menghadap ke timur,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"andang, andang-andang",andang,,Sasak Umum,"makanan, bunga-bungaan, dsb yg dibawa kpd dukun; sajian",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andangin,andangin,,Sasak Umum,hadapi (hadap ke),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andar,andar,,Sasak Umum,arah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ande,ande,,Sasak Umum,andai; umpama,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andeang,andeang,,Sasak Umum,andaikan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andek,andek,,Sasak Umum,tahan; henti(kan),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andekang,andekang,,Sasak Umum,tahankan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"andel, andelan",andel,,Sasak Umum,andalan; harapan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andelang,andelang,,Sasak Umum,andalkan; harapkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
ander,ander,,Sasak Umum,hawa; panas (akibat sinar matahari),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andika,andika,,Sasak Umum,kata; yg dikatakan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andikaang,andikaang,,Sasak Umum,katakan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andong,andong,,Sasak Umum,bendi; dokar,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andongan,andongan,,Sasak Umum,bawa dng dokar,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andos,andos,,Sasak Umum,serempet; sentuh,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anduk,anduk,,Sasak Umum,handuk,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
andukin,andukin,,Sasak Umum,handuki,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"andèn, seandena",andèn,,Sasak Umum,seandainya,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aneh,aneh,,Sasak Umum,aneh; ajaib,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angas,angas,,Sasak Umum,tengadah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angas-angas,angas-angas,,Sasak Umum,menengadah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angen,angen,,Sasak Umum,hati (perasaan),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angenan,angenan,,Sasak Umum,rindu; harapkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anget,anget,,Sasak Umum,hangat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anget aiq bangket,anget aiq bangket,,Sasak Umum,hangat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anget aiq kungkuq,anget aiq kungkuq,,Sasak Umum,hangat suam,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anget-anget,anget-anget,,Sasak Umum,hangat-hangat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angetang,angetang,,Sasak Umum,lebih hangat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angetin,angetin,,Sasak Umum,hangati,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"anggah, nganggah",anggah,,Sasak Umum,"berutang barang utk sementara, menunda pembayarannya yg sudah dijadikan harganya",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anggar,anggar,,Sasak Umum,rencana,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anggarang,anggarang,,Sasak Umum,rencanakan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anggep,anggep,,Sasak Umum,anggap,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anggepan,anggepan,,Sasak Umum,anggapan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"anggo, anggo-anggo",anggo,,Sasak Umum,"kayu ranting bambu bulat sebesar jari telunjuk, panjang ±30 cm, untuk alat memperhalus leher kendi",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anggop; angop,anggop,,Sasak Umum,(Sbl) kalah hawa; gentar; jera dan takut,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"anggoq, beranggoq",anggoq,,Sasak Umum,duduk bertengger di dahan kayu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anggoq; angguq,anggoq,,Sasak Umum,angguk,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anggoqang,anggoqang,,Sasak Umum,anggukkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anggor = teanggor; tanggor; empoh; kelék v,anggor = teanggor,,Sasak Umum,panggil,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angguk ngaleq,angguk ngaleq,,Sasak Umum,(kepala) yang diangguk-anggukkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angguq,angguq,,Sasak Umum,benturkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angguq; anggoq,angguq,,Sasak Umum,angguk,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angguqan,angguqan,,Sasak Umum,anggukkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anggur n,anggur n,,Sasak Umum,anggur,tidak ada kerja,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anggurang,anggurang,,Sasak Umum,biarkan (tanpa suguhan),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"anggék, nganggék-anggék",anggék,,Sasak Umum,duduk bergoyang-goyang di atas pohon/benda lain sambil menggoyangkan kepala ke kiri dan kanan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angin,angin,,Sasak Umum,angin bertiup keras; angin topan,angin,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angin barat,angin barat,,Sasak Umum,angin kencang yang datang dari arah barat yang membuat ombak besar,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angin pusut,angin pusut,,Sasak Umum,pusat angin puting beliung,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angin ribut,angin ribut,,Sasak Umum,angin ribut,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angin sangkakala,angin sangkakala,,Sasak Umum,angin besar di hari kiamat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angin sayo,angin sayo,,Sasak Umum,angin darat yang kelaut,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angin timuq,angin timuq,,Sasak Umum,angin datang dari lautan pasifik,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"angin, angin-angin",angin,,Sasak Umum,nama jajan yang dibuat dari tepung beras berbentuk kerupuk besar yang diberi lelehan gula merah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angin-anginan,angin-anginan,,Sasak Umum,tempatkan di tempat yang ada angin agar benda itu cepat kering,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anginan,anginan,,Sasak Umum,tidak serius dalam bekerja,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angka,angka,,Sasak Umum,angka,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angka-angkaan,angka-angkaan,,Sasak Umum,hal angka,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkan; engkan,angkan,,Sasak Umum,(Sbl) makanya,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkang,angkang,,Sasak Umum,berdiri (duduk) dgn kaki terbuka lebar,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkaq; engkaq; angkan,angkaq,,Sasak Umum,makanya,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkat,angkat,,Sasak Umum,angkat,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkatang,angkatang,,Sasak Umum,angkatkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angken; perangkenin,angken,,Sasak Umum,(Sbl) berikan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angker,angker,,Sasak Umum,angker,lihat,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkeran,angkeran,,Sasak Umum,lebih angker; agak angker,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkon; akon,angkon,,Sasak Umum,adopsi,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"angkos, angkosan",angkos,,Sasak Umum,imbas hawa,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"angkos, engkos",angkos,,Sasak Umum,nafas yang turun naik karena kelelahan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkot,angkot,,Sasak Umum,megap-megap (nafas); sesak nafas; nafas orang sakaratul maut,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angku; entan; tadah,angku,,Sasak Umum,"((Sbl), (Slp)) cara; hal; ucapannya dapat berubah menjadi",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkumpe,angkumpe,,Sasak Umum,(Sbl) caramu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkunda,angkunda,,Sasak Umum,(Slp) cara kamu (anda),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkungku,angkungku,,Sasak Umum,(Slp) caraku,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkunta,angkunta,,Sasak Umum,(Slp) cara kita,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkus,angkus,,Sasak Umum,"sedot, isap bau dengan hidung",,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angkut,angkut,,Sasak Umum,angkut; angkat bawa,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angop; anggop,angop,,Sasak Umum,kalah hawa; kalah semangat; jera; gentar; takut,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angopan,angopan,,Sasak Umum,agak gentar,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angsa,angsa,,Sasak Umum,angsa,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angsana,angsana,,Sasak Umum,nama tumbuh-tumbuhan (bunga),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angsel,angsel,,Sasak Umum,napas,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angsel; ansel; ansen,angsel,,Sasak Umum,napsu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angselang,angselang,,Sasak Umum,napaskan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
"angsok, angsokan",angsok,,Sasak Umum,gerakan ombak air,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angsor; ansor,angsor,,Sasak Umum,bilas,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angsorang,angsorang,,Sasak Umum,bilaskan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angsuh; ansul; ansun,angsuh,,Sasak Umum,angsur; susuk; cicil; angsur,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angsul; ansul; ansun,angsul,,Sasak Umum,susuk,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angsur,angsur,,Sasak Umum,angsur,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angsuran,angsuran,,Sasak Umum,angsuran,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
angsurang,angsurang,,Sasak Umum,angsurkan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aniayaq,aniayaq,,Sasak Umum,aniaya,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aning,aning,,Sasak Umum,ke (kata depan),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aning embe,aning embe,,Sasak Umum,kemana,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aning mudi,aning mudi,,Sasak Umum,ke belakang,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aning sida,aning sida,,Sasak Umum,kepada kamu,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aning to,aning to,,Sasak Umum,ke situ,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aniq,aniq,,Sasak Umum,nama sejenis lebah,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anjani,anjani,,Sasak Umum,nama desa di Lombok Timur,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
anjar,anjar,,Sasak Umum,tebar; sebar,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
